,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
1879,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1706 ,"4,000", 68.24 L,Ready to move,AGENT
1880,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1437 ,"4,000", 57.48 L,Ready to move,AGENT
1881,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1350 ,"4,000", 54 L,Ready to move,AGENT
1882,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1185 ,"4,000", 47.4 L,Ready to move,AGENT
1883,Vishnu Foundation LtdAGENT0,3 BHK,VillaSembakkam,Sembakkam,Chennai,1900 ,"6,315", 1.2 Cr,Ready to move,AGENT
1884,TharunOWNER,1 BHK,Apartment,Kolathur,Chennai,700 ,"9,285", 65 L,Ready to move,OWNER
1885,TharunOWNER,1 BHK,Apartment,Kolathur,Chennai,700 ,"9,285", 65 L,Ready to move,OWNER
1886,user7595OWNER,1 BHK,Apartment,Avadi,Chennai,399 ,"4,010", 16 L,Ready to move,OWNER
1887,TharunOWNER,1 BHK,Apartment,Kolathur,Chennai,700 ,"9,285", 65 L,Ready to move,OWNER
1888,user7595OWNER,1 BHK,Apartment,Avadi,Chennai,399 ,"4,010", 16 L,Ready to move,OWNER
1889,TharunOWNER,1 BHK,Apartment,Kolathur,Chennai,700 ,"9,285", 65 L,Ready to move,OWNER
1890,TharunOWNER,1 BHK,Apartment,Kolathur,Chennai,700 ,"9,285", 65 L,Ready to move,OWNER
1891,userOWNER,2 BHK,Independent,Tiruvottiyur,Chennai,2232 ,"4,211", 94 L,Ready to move,OWNER
1892,userOWNER,2 BHK,Independent,Tiruvottiyur,Chennai,2232 ,"4,211", 94 L,Ready to move,OWNER
1893,DhamodharanOWNER,2 BHK,Independent,Kovur,Chennai,1200 ,"5,583", 67 L,Ready to move,OWNER
1894,PROPLEAFAGENT0,2 BHK,Apartment,Perungalathur,Chennai,572 ,"3,950", 22.59 L,Ready to move,AGENT
1895,Swastikk homesAGENT0,2 BHK,Villa,Camp,Chennai,1012 ,"7,069", 71.54 L,Under Construction,AGENT
1896,HarikrishnanOWNER,2 BHK,Independent,George,Chennai,950 ,"8,947", 85 L,Ready to move,OWNER
1897,Chennai propertiesBUILDER0,2 BHK,Independent,Minjur,Chennai,1100 ,"2,000", 22 L,Under Construction,BUILDER
1898,Vishnu Foundation LtdAGENT0,3 BHK,ApartmentSelaiyur,Selaiyur,Chennai,1106 ,"7,685", 85 L,Ready to move,AGENT
1899,Casagrand SellassureAGENT0,1 BHK,ApartmentKotivakkam,Kotivakkam,Chennai,586 ,"8,191", 48 L,Ready to move,AGENT
1900,rajeshOWNER,3 BHK,Apartment,Adyar,Chennai,1384 ,"16,473", 2.28 Cr,Ready to move,OWNER
1901,MYPROP TELLERAGENT0,2 BHK,Apartment,Korattur,Chennai,818 ,"7,500", 61.35 L,Ready to move,AGENT
1902,MYPROP TELLERAGENT0,3 BHK,Apartment,Korattur,Chennai,1433 ,"7,500", 1.07 Cr,Ready to move,AGENT
1903,ProptigerAGENT0,2 BHK,Apartment,Kovur,Chennai,624 ,"5,250", 32.76 L,Ready to move,AGENT
1904,ProptigerAGENT0,2 BHK,Apartment,Kovur,Chennai,614 ,"5,250", 32.23 L,Ready to move,AGENT
1905,ProptigerAGENT0,2 BHK,Apartment,Kovur,Chennai,934 ,"5,250", 49.03 L,Ready to move,AGENT
1906,ProptigerAGENT0,2 BHK,Apartment,Kovur,Chennai,913 ,"5,250", 47.93 L,Ready to move,AGENT
1907,ProptigerAGENT0,3 BHK,Apartment,Kovur,Chennai,1361 ,"5,250", 71.45 L,Ready to move,AGENT
